period,prior_period,issuer_norm,issuer_raw,classification,common_shares_prev,common_shares_cur,common_value_cur,option_value_cur,has_common_prev,has_common_cur,has_option_prev,has_option_cur
2024-12-31,,CONSTELLATION ENERGY,CONSTELLATION ENERGY CORP,INIT,0,96400,21565644,0,False,True,False,False
2024-12-31,,MODINE,MODINE MFG CO,INIT,0,66367,7693926,0,False,True,False,False
2024-12-31,,MARVELL,MARVELL TECHNOLOGY INC,INIT,0,785896,86802213,0,False,True,False,False
2024-12-31,,TALEN ENERGY,TALEN ENERGY CORP,INIT,0,138878,27979751,0,False,True,False,False
2024-12-31,,VERTIV,VERTIV HOLDINGS CO,INIT,0,455146,51709137,0,False,True,False,False
2024-12-31,,VISTRA,VISTRA CORP,INIT,0,428397,59063094,0,False,True,False,False
2025-03-31,2024-12-31,MODINE,Modine Mfg Co,INC,66367,716824,55016242,0,True,True,False,False
2025-03-31,2024-12-31,TALEN ENERGY,Talen Energy Corp,INC,138878,148395,29630030,0,True,True,False,False
2025-03-31,2024-12-31,VISTRA,Vistra Corp,INC,428397,525846,61755354,0,True,True,False,False
2025-03-31,2024-12-31,APPLIED DIGITAL,Applied Digital Corp,NEW_ALL,0,4035600,22680072,0,False,True,False,False
2025-03-31,2024-12-31,VERTIV,VERTIV HOLDINGS CO,EXIT_ALL,455146,0,0,0,True,False,False,False
2025-03-31,2024-12-31,ONTO INNOVATION,Onto Innovation Inc,NEW_ALL,0,586717,71192241,0,False,True,False,False
2025-03-31,2024-12-31,CONSTELLATION ENERGY,Constellation Energy Corp,INC,96400,183400,36978942,0,True,True,False,False
2025-03-31,2024-12-31,INTEL,Intel Corp,NEW_ALL,0,0,0,459591354,False,False,False,True
2025-03-31,2024-12-31,EQT,EQT Corp,NEW_ALL,0,989398,52863535,0,False,True,False,False
2025-03-31,2024-12-31,CORE SCIENTIFIC,Core Scientific Inc New,NEW_ALL,0,4521578,32736225,0,False,True,False,False
2025-03-31,2024-12-31,MARVELL,MARVELL TECHNOLOGY INC,EXIT_ALL,785896,0,0,0,True,False,False,False
2025-03-31,2024-12-31,BROADCOM,Broadcom Inc,NEW_ALL,0,700000,117201000,0,False,True,False,False
2025-03-31,2024-12-31,COREWEAVE,CoreWeave Inc,NEW_ALL,0,1225000,45423000,0,False,True,False,False
2025-03-31,2024-12-31,IREN,IREN Limited,NEW_ALL,0,3366130,20499732,0,False,True,False,False
2025-06-30,2025-03-31,MODINE,Modine Mfg Co,EXIT_ALL,716824,0,0,0,True,False,False,False
2025-06-30,2025-03-31,TALEN ENERGY,Talen Energy Corp,EXIT_ALL,148395,0,0,0,True,False,False,False
2025-06-30,2025-03-31,VISTRA,VISTRA CORP,INC,525846,1274178,246948438,0,True,True,False,False
2025-06-30,2025-03-31,APPLIED DIGITAL,APPLIED DIGITAL CORP,INC,4035600,6591800,66379426,0,True,True,False,False
2025-06-30,2025-03-31,ONTO INNOVATION,Onto Innovation Inc,EXIT_ALL,586717,0,0,0,True,False,False,False
2025-06-30,2025-03-31,CONSTELLATION ENERGY,CONSTELLATION ENERGY CORP,INC,183400,319200,103024992,0,True,True,False,False
2025-06-30,2025-03-31,INTEL,INTEL CORP,HOLD,0,0,0,453317760,False,False,True,True
