accession,period_of_report,filing_date,acceptance_datetime,issuer,title_of_class,cusip,value_usd,shares,shares_type,put_call,weight
0000935836-25-000120,2024-12-31,2025-02-12,2025-02-11T17:58:43.000Z,CONSTELLATION ENERGY CORP,COM,21037T109,21565644,96400,SH,,0.08463296321531139
0000935836-25-000120,2024-12-31,2025-02-12,2025-02-11T17:58:43.000Z,MODINE MFG CO,COM,607828100,7693926,66367,SH,,0.030194310735136308
0000935836-25-000120,2024-12-31,2025-02-12,2025-02-11T17:58:43.000Z,MARVELL TECHNOLOGY INC,COM,573874104,86802213,785896,SH,,0.34064962306883223
0000935836-25-000120,2024-12-31,2025-02-12,2025-02-11T17:58:43.000Z,TALEN ENERGY CORP,COM,87422Q109,27979751,138878,SH,,0.10980470776372697
0000935836-25-000120,2024-12-31,2025-02-12,2025-02-11T17:58:43.000Z,VERTIV HOLDINGS CO,COM CL A,92537N108,51709137,455146,SH,,0.20292913532359605
0000935836-25-000120,2024-12-31,2025-02-12,2025-02-11T17:58:43.000Z,VISTRA CORP,COM,92840M102,59063094,428397,SH,,0.23178925989339705
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Applied Digital Corp,COM NEW,038169207,22680072,4035600,SH,,0.022554494730716433
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Broadcom Inc,COM,11135F101,117201000,700000,SH,,0.11655206989354781
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Constellation Energy Corp,COM,21037T109,36978942,183400,SH,,0.03677419333088839
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Core Scientific Inc New,COM,21874A106,32736225,4521578,SH,,0.03255496782664744
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,CoreWeave Inc,COM CL A,21873S108,45423000,1225000,SH,,0.0451714974341057
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,EQT Corp,COM,26884L109,52863535,989398,SH,,0.052570834942876
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,IREN Limited,ORDINARY SHARES,Q4982L109,20499732,3366130,SH,,0.020386227053207726
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Intel Corp,COM,458140100,459591354,20237400,SH,Call,0.4570466430651468
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Modine Mfg Co,COM,607828100,55016242,716824,SH,,0.054711622621516375
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Onto Innovation Inc,COM,683344105,71192241,586717,SH,,0.0707980567478972
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Talen Energy Corp,COM,87422Q109,29630030,148395,SH,,0.02946597151481573
0002045724-25-000002,2025-03-31,2025-05-14,2025-05-14T15:14:51.000Z,Vistra Corp,COM,92840M102,61755354,525846,SH,,0.061413420838634374
0002045724-25-000006,2025-06-30,2025-08-14,2025-08-14T13:54:56.000Z,APPLIED DIGITAL CORP,COM NEW,038169207,66379426,6591800,SH,,0.03126645456736061
0002045724-25-000006,2025-06-30,2025-08-14,2025-08-14T13:54:56.000Z,BROADCOM INC,COM,11135F101,328466194,1191606,SH,,0.15471621179150985
0002045724-25-000006,2025-06-30,2025-08-14,2025-08-14T13:54:56.000Z,CONSTELLATION ENERGY CORP,COM,21037T109,103024992,319200,SH,,0.0485274794583293
